,id-1,var1,time1,time2,time3,time4,mood_target,avg,slope
0,AS14.01,mood,1900-03-21,1900-03-22,1900-03-23,1900-03-24,6.0,6.466666666666668,0.29999999999999893
1,AS14.01,mood,1900-03-22,1900-03-23,1900-03-24,1900-03-25,6.75,6.3999999999999995,-0.20000000000000107
2,AS14.01,mood,1900-03-23,1900-03-24,1900-03-25,1900-03-26,6.6,6.516666666666667,-0.025000000000001694
3,AS14.01,mood,1900-03-24,1900-03-25,1900-03-26,1900-03-27,7.0,6.45,0.29999999999999927
4,AS14.01,mood,1900-03-25,1900-03-26,1900-03-27,1900-03-28,6.4,6.783333333333334,0.124999999999999
5,AS14.01,mood,1900-03-26,1900-03-27,1900-03-28,1900-03-29,8.0,6.666666666666667,-0.10000000000000031
6,AS14.01,mood,1900-03-27,1900-03-28,1900-03-29,1900-03-30,7.5,7.133333333333333,0.4999999999999982
7,AS14.01,mood,1900-03-28,1900-03-29,1900-03-30,1900-03-31,7.4,7.3,0.5499999999999986
8,AS14.01,mood,1900-03-29,1900-03-30,1900-03-31,1900-04-01,6.0,7.633333333333333,-0.3000000000000007
9,AS14.01,mood,1900-03-30,1900-03-31,1900-04-01,1900-04-02,6.5,6.966666666666666,-0.7500000000000011
10,AS14.01,mood,1900-03-31,1900-04-01,1900-04-02,1900-04-03,6.4,6.633333333333333,-0.4500000000000027
11,AS14.01,mood,1900-04-01,1900-04-02,1900-04-03,1900-04-04,6.2,6.3,0.19999999999999946
12,AS14.01,mood,1900-04-02,1900-04-03,1900-04-04,1900-04-05,6.8,6.366666666666667,-0.1500000000000001
13,AS14.01,mood,1900-04-03,1900-04-04,1900-04-05,1900-04-06,6.5,6.466666666666668,0.1999999999999978
14,AS14.01,mood,1900-04-04,1900-04-05,1900-04-06,1900-04-07,6.5,6.5,0.14999999999999958
15,AS14.01,mood,1900-04-05,1900-04-06,1900-04-07,1900-04-08,6.6,6.6000000000000005,-0.1500000000000026
16,AS14.01,mood,1900-04-06,1900-04-07,1900-04-08,1900-04-09,7.4,6.533333333333334,0.04999999999999921
17,AS14.01,mood,1900-04-07,1900-04-08,1900-04-09,1900-04-10,7.4,6.833333333333333,0.44999999999999857
18,AS14.01,mood,1900-04-08,1900-04-09,1900-04-10,1900-04-11,7.0,7.133333333333333,0.40000000000000013
19,AS14.01,mood,1900-04-09,1900-04-10,1900-04-11,1900-04-12,7.25,7.266666666666667,-0.20000000000000195
20,AS14.01,mood,1900-04-10,1900-04-11,1900-04-12,1900-04-13,8.0,7.216666666666666,-0.07500000000000179
21,AS14.01,mood,1900-04-11,1900-04-12,1900-04-13,1900-04-14,7.2,7.416666666666667,0.49999999999999883
22,AS14.01,mood,1900-04-12,1900-04-13,1900-04-14,1900-04-15,6.4,7.483333333333333,-0.025000000000000328
23,AS14.01,mood,1900-04-13,1900-04-14,1900-04-15,1900-04-16,7.2,7.2,-0.8000000000000003
24,AS14.01,mood,1900-04-14,1900-04-15,1900-04-16,1900-04-17,6.6,6.933333333333334,-9.028303526506445e-16
25,AS14.01,mood,1900-04-15,1900-04-16,1900-04-17,1900-04-18,6.8,6.733333333333334,0.099999999999999
26,AS14.01,mood,1900-04-16,1900-04-17,1900-04-18,1900-04-19,7.8,6.866666666666667,-0.19999999999999993
27,AS14.01,mood,1900-04-17,1900-04-18,1900-04-19,1900-04-20,7.25,7.066666666666666,0.5999999999999995
28,AS14.01,mood,1900-04-18,1900-04-19,1900-04-20,1900-04-21,7.6,7.283333333333334,0.22499999999999842
29,AS14.01,mood,1900-04-19,1900-04-20,1900-04-21,1900-04-22,7.4,7.55,-0.10000000000000125
30,AS14.01,mood,1900-04-20,1900-04-21,1900-04-22,1900-04-23,7.6,7.416666666666667,0.0749999999999984
31,AS14.01,mood,1900-04-21,1900-04-22,1900-04-23,1900-04-24,7.6,7.533333333333334,-1.5096004738050901e-15
32,AS14.01,mood,1900-04-22,1900-04-23,1900-04-24,1900-04-25,7.2,7.533333333333334,0.09999999999999812
33,AS14.01,mood,1900-04-23,1900-04-24,1900-04-25,1900-04-26,7.6,7.466666666666666,-0.20000000000000115
34,AS14.01,mood,1900-04-24,1900-04-25,1900-04-26,1900-04-27,7.5,7.466666666666666,-8.483541978863504e-16
35,AS14.01,mood,1900-04-25,1900-04-26,1900-04-27,1900-04-28,7.6,7.433333333333334,0.14999999999999927
36,AS14.01,mood,1900-04-26,1900-04-27,1900-04-28,1900-04-29,7.0,7.566666666666666,-8.211952184901733e-16
37,AS14.01,mood,1900-04-27,1900-04-28,1900-04-29,1900-04-30,7.8,7.366666666666667,-0.2500000000000005
38,AS14.01,mood,1900-04-28,1900-04-29,1900-04-30,1900-05-01,8.0,7.466666666666666,0.09999999999999841
39,AS14.01,mood,1900-04-29,1900-04-30,1900-05-01,1900-05-02,7.6,7.6000000000000005,0.4999999999999985
40,AS14.01,mood,1900-04-30,1900-05-01,1900-05-02,1900-05-03,8.0,7.8,-0.10000000000000123
41,AS14.01,mood,1900-05-01,1900-05-02,1900-05-03,1900-05-04,8.0,7.866666666666667,-1.550169503619508e-15
42,AS14.02,mood,1900-03-16,1900-03-17,1900-03-18,1900-03-19,6.8,7.094444444444444,0.9333333333333322
43,AS14.02,mood,1900-03-17,1900-03-18,1900-03-19,1900-03-20,7.25,7.25,0.024999999999999148
44,AS14.02,mood,1900-03-18,1900-03-19,1900-03-20,1900-03-21,7.5,7.416666666666667,-0.4750000000000018
45,AS14.02,mood,1900-03-19,1900-03-20,1900-03-21,1900-03-22,6.5,7.183333333333334,0.3499999999999988
